par_id,paragraph,has_entity,lexicon_count,difficult_words,last_editor_gender,category,text_clarity,index
113793006532,"In artificial intelligence and computer science, scientists study and use automated reasoning for diverse applications including automated theorem proving the formal semantics of programming languages, and formal specification in software engineering.",ORG_NO_PRODUCT_NO_PERSON_NO_,31,19.0,woman,philosophy,not_clear_enough,6646
31540004855,"alternative form of USR found in some dialects. Does not require an artificial parameter to complete the function-like syntax of USR, and has a clearly defined method of calling different routines in memory.",ORG_YES_PRODUCT_NO_PERSON_NO_,33,12.0,man,programming,not_clear_enough,7216
81703005913,"Challis published 225 papers in mathematics, physics and astronomy. He was re-elected fellow of Trinity in 1870. He died in Cambridge and was buried beside his wife in Mill Road Cemetery, Cambridge. His wealth when he died was £781 .Despite the embarrassment over Neptune, Challis did make genuine contributions to astronomy. His blend of theology and science was in the spirit of Stokes, and his search for a unified theory akin to the endeavours of Thomson and Maxwell. However, despite his tenacity in advocating his physical and theological theories, they had little impact, and in fact Richard Carrington credited him as his professor with inspiring his decision to pursue astronomy rather than become a clergyman. Olin J. Eggen claimed that ""At a later time, or under less amiable circumstances, he would have been branded a charlatan. He would now be as forgotten as his peculiar ideas had not the events surrounding the discovery of Neptune in 1845 given him a genuine opportunity for scientific immortality. But he fumbled it.""",ORG_YES_PRODUCT_NO_PERSON_YES_,169,46.0,man,biographies,not_clear_enough,7225
31548004879,"This line performs the actual task of writing the output. Console is a system object, representing a command-line interface  and granting programmatic access to the operating system's standard streams. The program calls the Console method WriteLine, which causes the string passed to it to be displayed on the console.",ORG_YES_PRODUCT_YES_PERSON_NO_,49,19.0,man,programming,not_clear_enough,7375
161437007105,John Gould also happened to live next to the famous Broad Street pump during 1854. The pioneering epidemiologist John Snow mentions Gould and his assistant Prince in his famous publication: On the mode of communication of cholera.,ORG_NO_PRODUCT_NO_PERSON_YES_,37,8.0,woman,biographies,not_clear_enough,2892
13149004402,"Early-twentieth-century artists, poets and composers challenged existing notions of beauty, broadening the scope of art and aesthetics. In 1941, Eli Siegel, American philosopher and poet, founded Aesthetic Realism, the philosophy that reality itself is aesthetic, and that ""The world, art, and self explain each other: each is the aesthetic oneness of opposites.""Various attempts have been made to define Post-Modern Aesthetics. The challenge to the assumption that beauty was central to art and aesthetics, thought to be original, is actually continuous with older aesthetic theory; Aristotle was the first in the Western tradition to classify ""beauty"" into types as in his theory of drama, and Kant made a distinction between beauty and the sublime. What was new was a refusal to credit the higher status of certain types, where the taxonomy implied a preference for tragedy and the sublime to comedy and the Rococo.",ORG_YES_PRODUCT_NO_PERSON_YES_,143,45.0,man,philosophy,not_clear_enough,6544
1041042012998,"Recent developments in statistical physics, machine learning, and inference algorithms are being explored for their potential in improving medical diagnostic approaches. Combining the skills of medical professionals and machines can help overcome decision-making weaknesses in medical practice. To do so, one needs precise disease definitions and a probabilistic analysis of symptoms and molecular profiles. Physicists have been studying similar problems for years, using microscopic elements and their interactions to extract macroscopic states of various physical systems. Physics inspired machine learning approaches can thus be applied to study disease processes and to perform biomarker analysis.",ORG_NO_PRODUCT_NO_PERSON_NO_,94,45.0,man,artificial intelligence,not_clear_enough,6394
86874006054," Accordingly, in the broadest sense, the objects of copying are memes, whereas the objects of translation and interpretation are signs. Later, Sara Cannizzaro more fully develops out this semiotic relation in order to reframe memes as being a kind of semiotic activity, however she too denies that memes are units, referring to them as ""sign systems"" instead.In Limor Shifman's account of Internet memetics, she also denies memetics as being unitary. She argues memes are not unitary, however many assume they are because many previous memetic researchers confounded memes with the cultural interest in ""virals"": singular informational objects which spread with a particular rate and veracity such as a video or a picture. As such, Shifman argues that Dawkins' original notion of meme is closer to what communication and information studies consider digitally viral replication.",ORG_YES_PRODUCT_NO_PERSON_YES_,134,45.0,man,philosophy,not_clear_enough,864
998224012708,"Monadic code, in a sense, cannot be fully ""unpacked""; once a value is wrapped within a monad, it remains quarantined there along with any side-effects .",ORG_NO_PRODUCT_NO_PERSON_NO_,25,6.0,non-binary,programming,not_clear_enough,5766
1017228012804,Amazon Lex was opened to developers in April 2017. It involves natural language understanding technology combined with automatic speech recognition and had been introduced in November 2016.,ORG_YES_PRODUCT_NO_PERSON_NO_,27,10.0,man,artificial intelligence,not_clear_enough,764
